Participant Birthdate,Mother Birthdate,Father Birthdate,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
1993,1957,1957,1970,3,1,4.0,1.0,4.0,4.0,1.0,1.0,The feasts of the people,1985,3,1,1.0,1.0,1.0,1.0,1.0,1.0,Dancing,1980,3,1,2.0,1.0,3.0,1.0,1.0,1.0,Belted out,2000,4,1,1.0,1.0,1.0,3.0,2.0,1.0,Village festivals,1995,3,1,1.0,2.0,1.0,3.0,3.0,1.0,Town,1975,2,1,2.0,1.0,3.0,2.0,1.0,1.0,Singing in the car with my mother,1990,3,1,1.0,1.0,1.0,1.0,1.0,1.0,Carnival parade,2005,4,1,1.0,2.0,1.0,3.0,3.0,1.0,Live the Betis
1999,1965,1963,1970,3,0,,,,,,,,1985,3,1,1.0,3.0,2.0,1.0,1.0,0.0,,1980,3,1,3.0,1.0,1.0,3.0,1.0,1.0,"Some songs I remember playing Sing Star with my sisters, especially aprendiendome the Thriller dance with them also small and Adolescent acrosport work of the school",2000,2,1,3.0,0.0,1.0,3.0,1.0,1.0,"Bast listening with some friends when I was 8-10 years, the Hay to be torero remember when my little sister gave him an album with that song and we invent a dance, some others to hear them on the radio with my car parents and sisters",1995,3,1,3.0,1.0,1.0,3.0,1.0,1.0,"Mambo number 5 sounded a lot in 2010 and I really liked, I always sang with my sisters and friends and I also invented a dance for her. The Gene in a bottle listened on the radio and my older sister, and I looked really cool just for the fact that my sister heard. The lemon half listened recently in the ""Poison"" and the """" Biibababirapo """" series is widely used today in memes, so often hear",1975,3,1,1.0,3.0,3.0,3.0,0.0,1.0,Whenever I travel with my family and we drive put several of these songs in the car. My parents and older sister like a lot especially Italian songs,1990,3,1,2.0,1.0,1.0,3.0,1.0,1.0,"Madonna's Vogue've heard very recently with my boyfriend, putting video on YouTube While recording her dog with a shirt. Saturday Night of the memory of 2012 approximately camps school, doing the typical dance of the song almost all who were there",2005,3,1,3.0,1.0,1.0,3.0,0.0,1.0,"I remember putting video on youtube Madonna, Shakira the laugh of the ""lucky that my breasts are small and not confuse them with mountains"" with my sisters, and Pitbull also laugh a few years later (2012-2014) with my friends on the school bus because their songs seemed to me a little ridiculous"
1995,1953,1957,1970,1,0,,,,,,,,1985,1,0,,,,,,,,1980,1,0,,,,,,,,2000,0,0,,,,,,,,1995,1,0,,,,,,,,1975,0,0,,,,,,,,1990,0,0,,,,,,,,2005,0,0,,,,,,,
1996,1949,1958,1970,2,0,,,,,,,,1985,3,1,3.0,1.0,3.0,1.0,1.0,0.0,,1980,2,1,3.0,1.0,3.0,2.0,2.0,1.0,"With my mother when I was younger, I used to hear on the radio cassette Mecano, both at home and in the car, and I liked them because they were moved and fun. Thriller was the first song that got me my sister in the first mp3 I had (can not remember the year but the song was downloaded from emule so imagine)",2000,1,1,4.0,0.0,1.0,3.0,0.0,1.0,"I do not remember how I felt at that time (imagine that good), but I know how they made me feel right now. Most are songs I heard in my small town (mainly in the pool and at parties), and I have pleasant memories of that time. In fact until I have some anxiety: _",1995,2,1,3.0,1.0,1.0,3.0,1.0,1.0,"Zombie was another of the first songs that got me my sister in mp3, so I very much associated with that time and my people. The Scatman remember that I liked, but ended up forgetting and I've just remembered her from a meme turned recently. I have associated generally between happy memories and bittersweet to whom I recognized.",1975,1,1,4.0,0.0,0.0,2.0,2.0,1.0,"I remember seeing Grease at a birthday, was about 9-10 years and I remember that I liked, I remember to the house where he was held and colors (yellow, orange, red) of plates and glasses. Grease have extraordinarily associated to that house, but I remember other children who were or who was the birthday. Bonnie M I discovered on my own with a song by Turisas, and I remember that I liked a lot and got several in the mp3.",1990,2,1,3.0,0.0,0.0,3.0,1.0,0.0,"(The Grease yes, but I have already answered in the previous question. The rest did not).",2005,3,1,4.0,1.0,1.0,3.0,1.0,1.0,"The Madonna remember I have been very heavy with it, particularly during a road trip where I had a stuffed lion and I invented a letter with that pace and was singing (with variations) for at least 1 hour (remember be aware that he was being weighed and do not stop because I was amused to be bothering). But the trip was not with my parents but with my uncles and cousins. Of The Saints Are Coming remember to listen with Katrina, probably in class and brings back memories guays me because I met U2 and Green Day thanks to her."
1996,1964,1957,1970,3,1,1.0,1.0,1.0,1.0,1.0,0.0,,1985,3,1,4.0,3.0,3.0,3.0,3.0,1.0,"They remind me of me in the car with my parents (small, when they were driving) or without them (now that I drive). I think 8 songs that have rung up eighty percent of the songs played on KISS FM since, at least fifteen years. As we always heard that radio in the car, I associate him. I realize now that in my life I've spent a lot of time in the car.",1980,3,1,3.0,3.0,3.0,3.0,3.0,1.0,"My answer is repeated, I recognized as 8 and all know by KISS FM. So again the car.",2000,2,1,3.0,0.0,0.0,0.0,3.0,0.0,"They are not vivid, only now recognized the songs I've heard them on MTV (on TV) when I was little. With video included. As much remind me of me in the hall, but it is a reconstruction, because it is impossible to remember me.",1995,2,1,3.0,3.0,3.0,3.0,3.0,0.0,"Actually, my memories are not vivid. The songs do not evoke a scene, I just know them by heart, and I remember perfectly is hearing them over and over again. On Kiss FM. And Aguilera on MTV. Maybe I should listen to another radio. Now that I think, what can evocarme is the video clip. But it only happens to me Aguilera, because I have not seen the video clips of Kiss FM.",1975,2,0,,,,,,,,1990,3,1,3.0,3.0,3.0,3.0,3.0,0.0,"For what it's worth, I think all my songs evoke their music, if you've seen (in the case of the songs from Grease, as the film). I do not evoke a vivid memory or no staff. As far I can imagine a very listening to me in the car, but I've been so long in the car that was not rolled back at a certain time in my life, because Kiss FM takes putting the same songs for centuries, and have heard interchangeably childhood, preadolescence, adolescence ... in the car.",2005,3,0,,,,,,,
1997,1964,1964,1970,1,0,,,,,,,,1985,2,1,1.0,0.0,0.0,1.0,0.0,1.0,"Song Alcala Gate sang with my preschool classmates and teacher. We were doing a kind of dramatization / game where we took turns to Alcala Gate raising his arms diagonally to join hands with another person and create a kind of human door. Meanwhile, the rest of the class passed under the arch of the door.",1980,1,0,,,,,,,,2000,1,0,,,,,,,,1995,1,0,,,,,,,,1975,1,0,,,,,,,,1990,1,0,,,,,,,,2005,1,0,,,,,,,
1996,1966,1960,1970,3,1,2.0,1.0,2.0,1.0,1.0,0.0,,1985,4,1,2.0,1.0,2.0,1.0,1.0,1.0,Dancing with my family,1980,3,1,2.0,1.0,2.0,1.0,1.0,1.0,Travel by car,2000,3,1,2.0,0.0,2.0,2.0,1.0,1.0,Indian summer at the beach,1995,3,1,2.0,1.0,2.0,1.0,1.0,0.0,,1975,3,1,2.0,0.0,2.0,1.0,0.0,0.0,#VALUE!,1990,4,1,2.0,1.0,1.0,1.0,1.0,1.0,Pasandomela Bluetooth in recreooo. Another Baile do anything with those of work,2005,2,1,1.0,0.0,0.0,1.0,1.0,1.0,"At a friend's house a few months ago, your compu floor whole discography of Shakira knew. Pitbull album reminds me of my people"
1995,1968,1967,1970,1,1,3.0,1.0,3.0,0.0,1.0,0.0,,1985,4,1,1.0,1.0,1.0,1.0,1.0,0.0,,1980,3,1,2.0,1.0,2.0,1.0,3.0,0.0,,2000,3,1,4.0,0.0,1.0,2.0,1.0,0.0,#VALUE!,1995,2,1,1.0,2.0,1.0,1.0,3.0,0.0,,1975,2,1,3.0,1.0,1.0,2.0,1.0,0.0,#VALUE!,1990,1,1,2.0,1.0,1.0,1.0,1.0,0.0,,2005,2,1,4.0,1.0,1.0,1.0,1.0,0.0,#VALUE!
1991,1955,1961,1970,3,1,2.0,1.0,2.0,1.0,0.0,1.0,"A town called Burgo lived when he was 5, he went to the school where my mother was a teacher, and finally of course that song we danced students in my class. The used to rehearse with my mother and me flipaba as music in general passed me great.

In other cases they have been ditties I've heard my parents sing while doing household chores, or even jokingly referring to me as an adult.",1985,3,1,2.0,1.0,1.0,2.0,1.0,0.0,,1980,2,1,1.0,0.0,1.0,1.0,1.0,0.0,,2000,3,1,4.0,1.0,1.0,3.0,3.0,1.0,"I remember going to my first class in sixth grade DiscMan listening to a CD of songs downloaded Estopa the landing or Kazaa. I remember being at home with my mother after my father bought me the pirate CD Caribe Mix 2000 and the summer when the pump was heard was a comercialísimo hitazo at that time. Of course I reminded me of my years of 5th and 6th grade, school, friends, had a companion who loved dancing and especially Ricky Martin and Chayanne and rehearsed those songs for the party prom.",1995,3,1,2.0,0.0,1.0,3.0,1.0,1.0,"Number Maroon 5, pipapaparapa, typical songs to go in the car with my father and go on the radio / cassette with that had a kind of music that flipaba us to mongolear together",1975,1,1,1.0,1.0,0.0,1.0,0.0,1.0,"My cousin Grease flipaba him when he was a kid and I was small (we brought 20 tacos) and I remember seeing him freak out, carnival dress up for Travolta son haha",1990,1,1,0.0,1.0,1.0,3.0,0.0,1.0,Saturday Night is a classic drunken nights 10 years ago hahah will remain but most memories I have friends that are drinking in the village of my ex girlfriend,2005,3,1,1.0,2.0,0.0,4.0,3.0,1.0,"MTV was basically that of Shakira with Alejandro Sanz in particular remember to listen a lot with a friend at school, along this same friend stealing her brother a CD of hip hop compilation to listen together in my DiscMan and the end I he gave and burned to hear. Both she and the partner with whom I sat in class that we gave while doing homework in class and say that much of our friendship, which I still enjoy that moment came. These songs appeared on CD and many memories ""has accompanied me this song from the TV while doing something"""
1994,1961,1959,1970,3,1,1.0,0.0,1.0,1.0,2.0,0.0,"A trip in the car with my mother when I was little, put a cassette in the car with some of the songs that have sounded. It brings back memories of summer, it was when we made that trip to go to spend the summer in Almería.",1985,4,1,1.0,1.0,1.0,1.0,3.0,1.0,"I have reminded many different times of my life. When he had long hair like those of euroep, when I studied French and I learned of voyage voyage. There was a time that was one of my favorite songs (life is life) and brings me memories of going to places (some local, some store) and go with my headphones on listening to that song.",1980,3,1,0.0,1.0,1.0,1.0,2.0,1.0,"Jump in the car and listen to KissFM one of the songs, they put all the time. Listen from my terrace house ""Wolf Man"" of the union who had gone to play at parties. When Michael Jackson died and I told my brother, who was a fan, and he was in the lounge.",2000,3,1,3.0,0.0,0.0,1.0,3.0,0.0,It gives me memories of the summer in general. When he was a teenager and sound those songs.,1995,2,1,1.0,0.0,0.0,1.0,1.0,1.0,"I was in my village and listen to techno version of Zombie The Cranberries ""hallucinating because everyone knew the techno song, but not the original group, which is also quite famous.",1975,3,1,0.0,1.0,0.0,1.0,3.0,1.0,When my girlfriend gave me a poster of Grease for my birthday,1990,2,1,0.0,3.0,0.0,3.0,1.0,1.0,"Some have reminded me to parties of my people in summer, with all the people dancing and singing, all very happy.",2005,1,0,,,,,,,
1994,1956,1958,1970,4,1,3.0,1.0,3.0,1.0,0.0,1.0,Some sang doing the karaoke at home with the family and others listened on the radio or on TV.,1985,4,1,1.0,1.0,1.0,1.0,1.0,1.0,Memories of concerts to celebrate goals with friends at the football stadium and also to party (some of've danced while sounding). In all these memories I felt cheerful.,1980,4,1,2.0,1.0,1.0,1.0,1.0,1.0,Some remind me of when I was in the car listening to Kiss FM and other moments listening to music with friends and dance them when have at some gambling den.,2000,3,1,3.0,1.0,3.0,1.0,1.0,1.0,Most remind me as a child and was vacationing with family on the beach.,1995,3,1,3.0,0.0,1.0,3.0,1.0,1.0,I remember the days of college and some even dance to doing acrogimnasia.,1975,2,1,1.0,1.0,1.0,1.0,1.0,1.0,reminds me some awesome movie Grease and the floor when I sing karaoke (to see if the COVID just to do it again '().,1990,3,1,1.0,1.0,1.0,3.0,1.0,1.0,"I remember a summer at the time of school, when there were several months ahead and a lot to enjoy. Some others remind me to be taking a leisurely beer carefree, and others to dance them at company parties.",2005,4,1,4.0,0.0,0.0,3.0,1.0,1.0,"They remind me of the teenage period, some listened with friends and others discovered while searching the new great songs."
1996,1966,1969,1970,1,1,1.0,1.0,1.0,1.0,0.0,0.0,,1985,3,1,1.0,0.0,1.0,1.0,0.0,0.0,,1980,3,1,1.0,1.0,0.0,1.0,1.0,1.0,"The other day working my college instructor asked me niñxs song thriller in the yard, put it. There was a boy who danced with coreo well. The dancing was another very chaotically and also seemed to have fun.",2000,1,1,1.0,0.0,0.0,1.0,0.0,0.0,,1995,3,1,1.0,1.0,0.0,1.0,0.0,1.0,Recently my brother redescubió song Scatman me and told me his story and meaning.,1975,2,0,,,,,,,,1990,4,1,1.0,1.0,0.0,1.0,1.0,1.0,"One of the songs when they were teenagers we put in the institute at a carnival, we were going all LA disfrazadxs and we were in a class by ""club"". Very funny.",2005,3,1,,,,,,,
1990,1959,1964,1970,3,0,,,,,,,,1985,3,0,,,,,,,,1980,3,1,0.0,0.0,1.0,2.0,1.0,0.0,,2000,2,0,,,,,,,,1995,4,1,1.0,0.0,1.0,3.0,1.0,1.0,,1975,2,0,,,,,,,,1990,3,1,0.0,0.0,0.0,3.0,1.0,1.0,,2005,2,1,0.0,3.0,0.0,3.0,1.0,1.0,
